Hand_Tracker1 5 (Data: ((-0.531735, 0.372633, 0.760528, 0.992139), (0.603827, 0.796476, 0.031929, 1.218969), (-0.593844, 0.476205, -0.648520, 1.002260), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.507749, 0.350173, 0.787128, 0.993241), (0.609550, 0.791687, 0.040998, 1.216855), (-0.608803, 0.500610, -0.615426, 1.006259), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.500221, 0.348091, 0.792850, 0.991723), (0.619425, 0.783663, 0.046747, 1.215097), (-0.605055, 0.514495, -0.607621, 1.008224), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.496347, 0.346353, 0.796040, 0.989946), (0.625412, 0.778614, 0.051186, 1.213970), (-0.602080, 0.523259, -0.603076, 1.009250), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.508146, 0.363500, 0.780804, 0.985443), (0.632147, 0.773137, 0.051470, 1.213296), (-0.584959, 0.519737, -0.622652, 1.008173), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.507423, 0.362942, 0.781534, 0.982927), (0.631168, 0.774010, 0.050348, 1.213828), (-0.586642, 0.518827, -0.621828, 1.007124), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.507707, 0.361092, 0.782206, 0.980107), (0.626020, 0.778389, 0.047001, 1.214660), (-0.591889, 0.513539, -0.621245, 1.005643), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.509108, 0.357285, 0.783043, 0.977134), (0.619106, 0.784029, 0.044786, 1.215950), (-0.597928, 0.507587, -0.620353, 1.003746), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.516215, 0.353847, 0.779945, 0.974362), (0.613327, 0.788352, 0.048276, 1.218002), (-0.597789, 0.503282, -0.623984, 1.000978), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.517590, 0.351658, 0.780024, 0.971436), (0.608514, 0.792170, 0.046650, 1.219444), (-0.601507, 0.498801, -0.624008, 0.998519), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.514387, 0.333547, 0.790033, 0.970933), (0.598575, 0.799361, 0.052244, 1.221345), (-0.614096, 0.499768, -0.610834, 0.996820), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.513131, 0.329430, 0.792574, 0.969144), (0.593303, 0.803414, 0.050183, 1.222837), (-0.620233, 0.495986, -0.607708, 0.994701), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.498088, 0.318368, 0.806567, 0.966517), (0.584769, 0.810146, 0.041338, 1.226149), (-0.640276, 0.492246, -0.589695, 0.992653), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.497332, 0.319068, 0.806757, 0.964648), (0.580932, 0.813132, 0.036531, 1.227299), (-0.644344, 0.486839, -0.589754, 0.990041), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.492983, 0.316875, 0.810283, 0.963352), (0.576439, 0.816537, 0.031390, 1.228173), (-0.651680, 0.482553, -0.585198, 0.987750), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.491323, 0.316363, 0.811490, 0.962146), (0.572610, 0.819375, 0.027254, 1.229012), (-0.656293, 0.478058, -0.583730, 0.985613), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.493463, 0.316845, 0.810002, 0.960667), (0.569704, 0.821447, 0.025749, 1.229478), (-0.657215, 0.474167, -0.585861, 0.983522), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.498313, 0.321824, 0.805055, 0.958816), (0.569997, 0.821281, 0.024506, 1.229920), (-0.653290, 0.471090, -0.592694, 0.981285), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.501702, 0.323021, 0.802467, 0.957292), (0.568160, 0.822565, 0.024103, 1.230223), (-0.652295, 0.468022, -0.596210, 0.979508), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.523155, 0.336158, 0.783139, 0.956797), (0.570535, 0.820767, 0.028821, 1.228759), (-0.633087, 0.461886, -0.621179, 0.976708), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.539905, 0.347791, 0.766515, 0.953260), (0.568303, 0.822371, 0.027157, 1.229119), (-0.620915, 0.450275, -0.641652, 0.973646), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
Hand_Tracker1 5 (Data: ((-0.544076, 0.348319, 0.763319, 0.951486), (0.560881, 0.827601, 0.022131, 1.229604), (-0.624015, 0.440171, -0.645643, 0.971189), (0.000000, 0.000000, 0.000000, 1.000000)); Id: 0; Window ptr: 0000000000000000)
